category,summary
5,환자는 당뇨에 관련된 약물을 받아야 함.
5,환자에게 심혈관 관련된 정보를 전달해야 함.
5,환자는 현재 다량의 약을 복용하고 있어서 다른 병이 있을 때는 일부 약을 중달하는 것이 좋을 수 있다.
6,"환자가 약을 복용하지 않고 있다는 사실을 약사에게 전달하고, 자세한 상황을 설명하겠다는 내용을 전달함."
5,환자가 현재 가지고 있는 질환들은 실제로 낫는 질환들이 아닌 것 같다.
5,약을 꾸준히 복용해야 혈관 손상을 예방할 수 있다.
5,손상된 부위와 예측이 어려운 상황으로 중단하지 말고 계속 진행하는 것이 좋습니다.
5,"- 다른 약을 복용할 때 아스트림은 일주일 전에 중단해야 함
- 예를 들어 건강검진 시 중단 필요"
6,"약사가 한 가지 아이템만 남았고, 그 다음에 다른 것을 확인해야 한다."
5,환자가 당뇨가 심하게 발생하고 있다는 사실을 전달해야 합니다.
5,"환자가 당뇨 약을 3가지 복용 중이며, 성분으로는 둘, 넷, 다섯, 다섯 종이 들어있다."
6,의약품 한 알에 성분이 2개씩 묶여져 있음.
6,환자가 예전처럼 당뇨 약을 먹는다면 알루미늄을 섭취할 수 있어야 한다.
5,"환자가 당뇨약을 줄이는 것이 가장 현실적인 것으로 생각하고 있으며, 현재 복용 중인 약을 이에 맞게 조정하고 싶어한다."
5,환자가 1정을 복용하였는데 혈당이 낮아졌다. 혈당이 76.8로 떨어졌다. 약의 세기에 대한 언급이 있었다.
5,"6, 6.5 미만으로 혈당이 떨어지면 줄이는 것을 고려하라."
5,환자에게 조금만 더 노력하면 좋을 것이고 노력이 중요하다.
5,당뇨의 문제는 혈당이 과도하게 높거나 너무 낮아지는 것이 중요하다.
5,당뇨는 변동이 심한 병이며 항상 높은 수치가 아닌 때도 있다.
6,환자가 약을 떨어뜨려서 회사에 와도 정신이 없다고 함.
6,"환자가 현재 50 견의 결과를 받았고, 약을 복용 중이 아니라고 말했지만 다른 사람은 먹고 있는 경우도 있다고 전달함."
6,환자가 50세이고 방뇨 수치가 높아져서 팔도 옷도 못 입겠다고 하며 스트레이드 조사에서 맞았다고 말함.
6,환자에게 혈압 측정 결과가 높게 나와 재검이 필요하다고 안내함.
6,스테로이드 대신 다른 약물을 복용하여 알레르기 반응이 줄어들었습니다.
6,"당뇨 수치가 올라갈 때 스테로이드 성분이 떨어지면 다시 수치가 떨어지는지, 높아지는 것 자체가 문제인지에 대해 의미를 고민해야 한다."
5,"스트레스를 피해야 하고, 검사 결과가 높으면 다시 검사를 받아야 한다."
5,환자의 혈당 수치가 다시 6.8로 떨어졌다.
4,스테로이드 사용 시 부작용이 있을 수 있다.
6,"스테로이드를 안 써도 뼈에 맞는 주사는 올릴 수 있지만, 일시적으로 올리는 것을 용인해도 되는지에 대해 의심이 있음."
5,약물 효과가 좋아질 경우 약이 맞지 않을 수 있음을 염두에 두어야 함.
5,당화혈색소나 일시적 혈당이 올라갈 때 조직이 손상된다.
6,올리지를 말지 말아야 한다는 내용을 전달해야 한다.
5,환자가 최대한 치료 기간을 최소화하는 것이 좋다고 강조하고 있다.
6,약을 말로 복용하는 것이 좋다.
3,"- 환자의 혈관이나 장기에 치료가 침투됨
- 관절염 치료에 스테로이드 또는 소염진통제 선택 필요
- 소염진통제도 혈당을 올릴 수 있음"
5,환자가 치료기관을 단축하기 위해 스테로이드를 짧게 사용하고 싶어 한다.
5,"환자는 증상을 참을 수 있고, 장기간에 걸친 운동도 가능하다."
6,"환자가 스테로이드인 '스테드'를 복용 중이며, 이전에 몇 번 복용했음."
6,환자가 몇 년 전에 받은 치료에 대해 이야기함.
6,"의약품 효과에 대해 고민 중인 환자가 다시 왔으며, 고민 중인 내용에 대해 상담을 받고 싶어한다."
5,환자가 통증이 심한 경우 스테로드제를 받고 내분비내과 당뇨 관리 전문의에게 스테로이드 사용 사실을 알려야 함.治향적 치료 중요.
6,약물에 대한 부작용이 심할 경우 더 나은 옵션을 고려해야 합니다.
6,"맞는 방법을 선택하는 것이 중요하며, 다른 대안을 찾는 것이 좋다."
5,"물리치료를 잦은 주기로 받고 근력 운동을 해야 하며, 당뇨 관리는 근육량에 영향을 미친다. 근육량을 유지하는 것이 중요하다."
5,운동 시 난리가 났고 피 검사를 받았는데 이걸 말하고 있음.
6,환자가 조금이라고 말했습니다.
6,"환자가 CPK 수치를 확인하기 위해 피 검사를 했는데, CPK는 크레아틴 인산화효소를 뜻한다."
6,환자의 CPK 수치가 중요하다.
6,환자는 6살이다.
6,"환자의 행문분 융예증의 숫자가 2000에 이르렀고, 훈련을 받아 일보다 더 높은 숫자를 기록했다."
6,"환자가 근육이 다 녹았다고 생각하는데, 실제로는 전혀 운동을 하지 않아서 근육운동에 대해 잘 모르는 상황이다."
5,혈당 검사를 받으러 가기 전에 몸을 움직여 근육을 만들어야 한다. 세게 했을 때가 아니라 적당한 운동이 필요하다. 알이 모두 백인 상태로 가야 한다.
6,10 키로짜리 약이 15 키로로 바뀐 것 같다고 환자가 말했다.
6,환자는 무게 없이 운동을 할 것을 원한다.
6,약사가 말했다. 무게 없이 운동을 해야 한다.
5,환자가 선생님의 권고에 따라 자신의 몸 상태를 살펴보고 방문한 것이다.
6,- 약사에게 박트를 계속해서 감사한다.
6,"환자가 메일로 대화 내용을 정리해서 보내줄 것이고, 메일 주소를 알려주면 보내줄 것이다."
6,"메일로 더 자세한 내용을 전달할 예정이며, 죄송하다는 말씀을 전하고 있습니다."
6,환자가 선생님의 짧은 발걸음에 대해 언급함.
6,환자는 처음 방문이라 질문이 많지 않을 것이라고 말했습니다.
6,15분으로 엄청 바쁘게 예약이 잡혀서 촉박하다고 느낌.
5,"- 환자가 비염과 위염을 가지고 있다.
- 환자가 프로폴릿(아연)을 복용 중이지만 효과를 크게 느끼지 못했다.
- 아연이 귀여운 맛이라고 하며, 한 달 이상 복용한 상태이다."
5,2개 성분이 모두 비염에 좋다는 것이 확인되었다.
6,아연이 위험에도 좋은 영향을 준다.
5,아연은 전막 재생을 도와주는 영양소로서 일상 음식에서 결핍이 잘 일어나는 성분입니다.
3,아연 섭취로 위전막과 코 점막이 튼튼해지며 좋아진다.
5,"프로폴리스는 항염 작용이 많아 기관지 면역에 좋고, 회사에서 보여준 제품이 닥터 아의 것이다."
2,약물의 함량을 검토해야 한다.
6,환자에게 한번 더 확인해 볼 것을 약속함.
6,"환자는 인터넷 연결이 불안정하다고 하며, 갑자기 끊어진다고 말했다.환자의 인터넷 연결이 불안정하다는 점을 확인해야 한다."
6,"환자가 대기하는 동안에 나눈 얘기를 정리해서 나줄 예정이며, 시간이 없을 것 같아서 메모할 시간이 부족할 것이라고 함."
6,환자에게 고려 운당밀크를 드시라고 권유되었습니다.
5,비타민 섭취는 중요하지만 피부감 해소에는 도움이 되지 않을 수 있으니 식사에 주의하세요.
5,환자는 대부분 두 끼를 들고 점심과 저녁에 드시는 것으로 보임.
5,환자가 크게 식사를 못하는 이유는 다이어트 중이거나 종합비타민을 복용하여 결핍 상태가 아닐 가능성이 있다.
5,환자는 결핍은 해결되었지만 여전히 피곤한 상태이다.
5,결핍이 심각하지 않지만 충분한 활력을 얻기에는 부족한 상태이다.
2,종합 비타민은 바닥 수취가 어려운 사람들을 위해 먹는 것이다.
2,약은 많이 들어있지만 양이 부족한 상황이다.
6,피로회복 비타민과 광고 제품은 다양하지만 종류는 다양하지 않음.
5,비타민 비 군이 종합 비타민보다 10~20배 강하게 들어있어서 더 효과적이다.
3,"비타민 삐군은 음식을 먹은 후 세포가 태워서 에너지로 변환하는 역할을 하며, 세포의 에너지 생산과 에너지 대사를 촉진시킨다."
5,비타민 삐군을 먹으면 더 활력 있고 기운이 차있어진다.
5,근육량을 조절하려면 사이클 운동을 많이 해야 한다.운동량이 많을수록 에너지 대사가 더 신속해진다.
5,피로감을 느낄 때 운동 부족과 비타민 비 부족을 확인해야 합니다.
6,"비타민 B는 고기와 신선한 과일, 채소에 많이 들어있는데요."
5,현재 비건식이 아닌 사람들은 비타민 B 결핍이 적을 수 있다.
5,환자가 아침에 먹는 게 운동에 영향을 미치는지 관심 있음.
3,약물이 몸 속에 들어가면 계속해서 남아있게 될 수 있음.
5,환자가 아침에 식사를 거의 안 하므로 저녁 식사로 대체해도 괜찮을 것 같다.
6,환자가 점심을 먹을 수 있는 곳을 찾아서 드시는 것이 좋다.
6,약효가 떨어질 수 있으며 습기와 오래된 저장 상태가 영향을 줄 수 있음. 눈에 무거운 느낌과 뻑뺙함이 있음.
5,"눈이 건조해지면 눈에 상처가 생기고, 공기의 산소 공격을 받을 수 있으므로 인공눈물을 자주 사용해야 합니다. 인공눈물을 수시로 사용하는 것이 중요하며 먹는 것만으로는 부족합니다."
6,환자는 현재 30대로 보인다.
5,"20대와 30대에서는 마그네슘과 오메가 3이 결핍 영양소로 중요하며, 생선 구이를 자주 먹지 않는 세대가 많다."
3,"눈의 수분층 위에 오메가 3 기름층이 형성되는데, 오메가 3가 부족하여 이 기능이 올바르게 작동하지 않을 수 있다."
3,"오메가 3를 섭취하면 눈의 뻑뻑함이 줄어들 뿐만 아니라 생리불신에도 도움이 되며, 몸에서 호르몬의 재료로 변환된다."
5,호르몬 불균형으로 인한 여드름이나 생리 불순과 관련된 상황에서의 조언이 필요하다.
6,오메가 3를 더 섭취하는 것이 좋습니다.
6,혈액 순환이 오메가 쓰리니까 편안한 쪽으로 불편하신지 확인해야 합니다.
5,"다리가 부어 느낌이 항상 들어가고 무슨 운동을 하라고 적었는데, 발레 하체 운동이 좋다고 함."
5,발레시 체중 감량은 하지 말고 유지만 하세요.
5,"근육 부족으로 종아리 아래쪽에 물집이 생기는데, 오래 앉아 있을 때 혈액이 아래로 향하면 근육이 압력을 제대로 줄 수 없어서 물집이 생길 수 있다.근육이 충분한 압력을 제공해야 한다."
6,환자에게 밀크시슬을 조절하여 복용하라고 권고하고 있다.
1,"멀티 비타민 섭취량을 줄이고, 오메가 3, 프로폴리스, 아이언 C 섭취량을 늘리는 것이 좋다."
5,"환자는 오메가 3가 만성 염증을 관리하고 비염에도 효과가 있으며, 식물성 오메가 3을 권장하고 있지만 환자는 동물성을 먹었음.식물성 오메가 3은 염증 억제 성분이 적어 동물성이 더 좋다고 설명함."
6,한 번 더 처리된 음식은 흡수도 좋고 냄새도 줄어들어서 드시면 좋을 것 같다.
2,"해당 약은 하루에 두 알씩 복용해야 하며, 식후에 밥 먹은 뒤에 복용하는 것이 좋습니다."
6,인터넷 연결에 문제가 있어서 환자가 인터넷을 사용할 수 없다.
5,환자가 느린 것을 느꼈고 이상하다고 느낌을 표현함.
6,프로폴리스 아이언의 용량을 다시 검토하고 메일로 내용을 보내줄 예정이다.
5,환자가 밀크시스를 선택한 이유가 간이 나빠져서 피로가 쌓여있어서인 것 같다.
6,"피로를 타겟으로 한 광고가 많은데, 피로의 원인이 다양하므로 주의해야 한다."
5,"수면 부족이 건강에 미치는 영향을 알아봐야 하며, 각 사람마다 필요성이 다를 수 있다."
5,"환자가 잠을 충분히 주무는지 확인하고, 아침에 일어나는 데 어려움이 있는지 확인하는 중요한 질문을 하고 있다."
5,환자에게 더 많은 잠을 자도 피로감은 여전히 남는다.
5,"환자에게는 항산화재를 더 먹는 것과 근육량을 늘리는 것이 좋다고 전달되었고, 특히 다리의 부음을 줄이기 위해 활동량을 조절해야한다고 강조되었습니다."
5,"하지정맥류 수술 후에도 다시 올 수 있으며, 끝이 아니다."
5,근육량이 빠진 체질의 사람에게는 언제든 재발 가능성이 있으므로 수술해야 함.
5,"운동을 하지 않고 혈관이 늘어날 경우, 다시 혈전이 생길 수 있으므로 꾸준한 운동이 중요하다."
5,"수술로 해결되는 문제가 근본적인 치료는 아니며, 운동을 통해 해결할 수 있으며, 걷는 것도 좋다."
5,"하체 운동, 특히 스쿼트와 같은 운동으로 엉덩이와 다리 근육을 강화하면 통증이 감소할 수 있다."
6,"환자에게 더 좋은 결정을 하도록 권고하고, 환자가 감사를 표현함."
6,환자가 인사를 하였다.
6,환자가 앞에서 몇 번 해봤을 때 시간이 짧다고 느꼈다.
6,"환자가 못 다한 얘기가 있다면 메일로 회신할 수 있다고 안내받았으며, 이서영 선생님이 맞는지 확인하였다."
6,환자가 의사에게 많은 질문을 할 것으로 예상하지 않았는데 생각보다 많이 질문할 것으로 예상됨.
6,"환자가 현재 복용하고 있는 약은 3가지뿐이며, 영양제로는 콜라겐, 오메가 B 등을 복용하고 있다. 함께 복용할 약에 대해 궁금해하고 있다."
5,다이어트를 위해 탄수화물과 가르시양을 많이 섭취해야 한다.
3,지용성과 수용성 비타민은 식사 후에 섭취하는 것이 좋음.
6,음식물을 먹을 때 담세쌈이 분비되어 기름을 흡수하는 것을 돕습니다.
5,식사를 거른 채로 먹으면 영양소의 흡수율이 10~30% 미만으로 떨어진다.
5,"식후에 오메가 쓰리, 비타민 등의 녹는 물질을 먹어야 함."
5,"식후에 먹는 것이 효과적이며, 비타민 C는 수용성 비타민이다."
5,높은 함량의 음식은 빈 속에 먹으면 소화를 잘 못 시킬 수 있다.
2,"식후에 유상계를 함께 드셔도 괜찮고, 아침에 먹는 것이 좋다."
5,"오메가 3, 비타민 C, 콜라겐, 판텐틴, 유산균을 아침에 함께 섭취하는 것이 좋다고 함."
5,위장 문제로 인해 위가 아프고 있으며 오메마 쓰리 콜라견을 사용하는 것이 도움이 될 수 있다.
6,"환자의 언급에 따르면, 현재 증상이 비타민과 관련이 있는 것일수도 있으며, 다시 확인이 필요하다."
6,"환자가 울고 있으며, 우울증 증상이 심하다는 것을 보여주고 있다."
5,환자는 매일 술자리가 있거나 피곤한 날에는 식사를 거르고 출근하자마자 먹는다.
5,빈 속에 유산균을 제외한 음식을 드세요.
6,"의사가 환자에게, 현재 속도가 떨어져서 먹기 어려우니 속도를 조절하고 에플샤이더를 알록달록으로 먹는 것이 좋다고 조언했다."
6,"환자가 다이어트 중이고, 약을 복용한지 1주일 되지 않았다. 현재 효과가 없다며 의사와 효과에 대해 이야기하고 있다."
5,"식단 조절만으로는 살이 빠지지 않을 수 있으며, 평상시에도 식단 관리가 필요하다."
6,환자와 아줌마들이 초반에 물질이 빵 나오는 것에 관심을 가지고 있다.
5,운동과 식단 조절을 해도 살이 빠지지 않아서 고민하고 있는 환자가 있음. 처방된 약물은 도움이 되지 않는다고 함.
5,"다이어트는 초반에 많이 감량하는 것이 중요하고, 계획을 짧게 잡아서 유지하는 것이 중요하다. 의지와 시욕은 뒤로 갈수록 약해지므로 초반에 짧게 감량하는 것이 중요하다."
5,유지할 때 요요현상이 나타날 경우 살이 빠지지 않는 체질이 될 수 있다.
6,두통 주사를 맞을 때 근육이 빠져서 지방이 그 자리에 채워지는 현상이 발생할 수 있다.
5,운동을 통해 근육을 증가시키는 것이 중요하다. 이후에는 살을 빼는 것이 어려워질 수 있다.
6,환자가 종합비타민만 복용하고 다른 약을 복용하지 않는다고 함.
5,환자는 이제 30대 후반으로 들어가면 종합비타민과 오메가 3를 복용해야 한다고 말했다.
5,종합비타민에는 오메가 3가 들어 있지 않으니 들이키지 말아야 합니다.
5,"50대로 넘어가면 호르몬 수치가 떨어지는데, 오메가 3는 혈당을 조절하고 염증을 완화시키며 노화를 늦추는데 도움이 된다. 추천 상담은 오메가 3을 권장한다."
6,소화 기능이 나쁠 때는 코스트 바이오틱스와 유상균을 섭취하는 것이 좋다. 유장균과 유상균의 차이를 알고 계시나요?
6,"프로바이오틱스는 유산균이며, 프리바이오틱스는 유산균의 먹이이다."
6,유산균 제품을 선택할 때 유산균의 먹이인 말토즈(프리바이어틱스)가 들어 있는지 확인해야 한다.
6,균과 먹이를 함께 넣어서 장에 부착시켜 살 수 있도록 돕는 것이 중요하다.
6,혼합된 제품을 사는 것이 둘 중 하나만 먹는 것보다 더 좋다.
5,"- 화장실에 잘 못 가는 상황
- 포스트 바이오틱스 복용 후 효과 양호함."
6,"포스트 바이오틱스는 유산균이 되는 단계를 말하며, 매일 먹는 유산균과는 다른 의미를 갖는다."
6,환자에게는 배출되는 대사 산물이 포스트 바이어틱스라는 것을 전달해야 합니다.
6,프로바이오틱스는 많이 검증되었고 높은 기능성을 가지고 있다.
3,"프로바이오틱스는 단독으로 섭취해도 효과가 있는데, 포스 바이오틱스와 함께 먹으면 효과가 더 좋다고 합니다."
1,"환자가 말하길, 프리바이오틱스를 10억마리 섭취하는 것이 좋다고 했다."
6,"- 현재 치료 효과가 부족하며 혈청 균수만으로는 정확한 정보를 얻기 어려움
- 회사에서는 어떤 약물을 복용해야 하는지 물어봄"
2,"환자는 현재 프로바이오틱스를 복용 중이고, 균을 확인하기 위해 검사를 받으려고 함."
6,"균이 다양해야 하며, 10억마리 제품은 가격이 저렴한 제품도 있다."
6,열에 잘 견디는 균과 기능성 입증 안 된 균 수가 많아서 숫자를 채우기 위해서 일부 균을 사용하고 있다.
6,"환자가 팬드 필라라고 하는 것으로 보아, 프리마이 특상을 받았음을 알 수 있습니다."
5,환자가 유상균을 섭취하여 어떤 효과를 원하는지 물어봄. 변밀에 관심 있는 것으로 보임.
5,"선택한 제품은 장에 좋은 균이 아닌 질 건강을 위한 것이며, 질 감염이나 방광염, 질염에 특화돼 만들어졌고 10억마리로 구성돼 있습니다."
6,"환자가 비싼 제품의 효과가 없다고 느껴 다른 제품으로 바꿀 것을 권유했고, 그냥 평범한 제품을 선택하는 것이 나을 것이라고 조언했다. 함께 먹어야 할지 여부에 대해 설명하며, 앞서 언급한 여자와의 관련이 있는 제품을 말했다."
6,환자가 자주 감염에 걸리는지 묻고 있다.
6,환자가 음식을 먹지 않으면 살 수 없다는 사실을 인지해야 합니다.
4,"약물 복용 중인 환자가 과잉 섭취 우려를 표현했지만, 부작용 없이 가성비 좋다는 의견을 전달함."
5,유산균을 찾을 때에는 그냥 일반 유산균이 좋다.
5,"유산균이 여성 건강과 변비에 좋고 추천 제품을 보내줄 것이며, 이후 구매 시 고려할 수 있도록 유산균의 이점과 함께 정보를 제공할 예정이다."
5,"환자가 건강에 대해 많은 걱정을 하고 있고, 자신감이 부족한 듯하다고 이야기했다. 이에 대해 의료진이 걱정하는 이유를 물었고, 환자가 힘들어 보인다고 덧붙였다."
6,"환자는 옆집 아줌마를 통해 한미약품에서 받은 비타민 D를 복용하고 있으며, 쿠팡 물건을 잘못 뜯어 죄송해하는 상황이 있었다. 지금은 비타민 C와 B를 복용하고 있다."
5,"유산균은 변비 때문에 섭취하고, 판테톤산은 피부에 좋은 영향을 끼치는 것이 아닌 것임을 이해해야 합니다."
6,여드름이 좋다는데 인스타에서 약사가 콜라겐과 비타민C를 함께 섭취하면 피부에 좋다고 알려주었음.
3,비타민 C는 신맛을 가지고 있고 위장을 산성으로 만들어 유산균이 잘 살 수 있는 환경을 만들어준다.
6,게를 많이 섭취해도 속이 쓰릴 수 있으니 조정이 필요하다.
4,"약물이 속을 쓰리게 만드는 부작용은 없고, 오히려 그것도 도움이 될 수 있다."
5,산증이라는 질병으로 인해 몸에 알칼리아가 많아 산이 많이 나오는 환자. 비타민 C를 잘 선택한 것으로 판단되며 약물 구성도 잘하였다.
6,"매일 마그네슘을 복용하는 것은 귀찮고, 견과류가 정착되면 필요 없다."
5,"마그네슘은 근육 강직을 푸는데 도움이 되며, 생리통도 개선할 수 있습니다. 생리할 때만 먹을 시간이 좀 짧은 것 같고, 잠을 잘 잘 수 있는지 물어봅니다."
5,"비타민 D는 대다수 한국인이 결핍하며, 현재 드시는 양은 가끔 드셔도 괜찮다."
5,환자는 계속 밖에서 일하는 사람이라서 영양 섭취가 중요하며 잠을 잘 못 이루는 상태이다.
2,빈속에 드시던 음식을 40도로 데워 먹어야 합니다.
5,비타민 결핍으로 인한 구루병은 뼈 건강에 영향을 줄 수 있다.
5,뼈 건강은 40세에서 절정을 찍고 그 후로 점점 감소한다.
5,"40세부터는 보충제를 더 이상 증가시키지 말아야 하며, 이후에는 정점을 찍은 후로 살아야 한다.생외요."
6,"환자는 다른 질은 없으며, 선물 받은 것 중에 있는 것을 먼저 쓰고, 소퍼 단기를 사용하기 전에 먼저 사용하라고 조언받았다. 날짜가 남아있다."
6,환자는 제품이 개별 포장되어 있고 병에 담긴 모양의 제품인데 이것이 일 년 사용하기 충분하다고 말했다. 보통 이 제품은 한두 달 사용량으로 판매되는데 이에 감사하다고 했다.
6,환자가 약을 받아간다.환자가 말했음을 암시한다.
6,"환자의 이름은 박경정이고, 예상보다 대화 시간이 충분하지 않았다."
6,"환자에게 대화 내용을 정리해서 메일로 보내드릴 수 있으며, 메일 주소를 하나만 남기면 된다."
6,"환자가 작성한 건을 확인하고, 현재 복용 중인 약이 거의 없으며 영양제만 복용 중이라는 사실을 전달함."
5,"환자가 병원에서 녹내장 약을 처방받아 복용 중이며, 녹내장이 오른쪽에 있다고 말했다."
5,"환자가 나이가 들면서 영양제를 먹는데 언론을 통해 혼란스러운 정보를 받는다. 현재 오메가 3를 먹고 있는데, 그에 대한 정보가 모호하다고 느낀다."
5,"미국 연구 결과에 따르면, 건강한 사람들에게는 음식 보충제가 유익하지 않을 뿐만 아니라 해로울 수도 있다."
6,"환자가 결과를 받고 치료를 중단한 이유와 첫 번째는 궁금한 인제에 대한 관심, 두 번째는 연구원이 계속해서 실내에서 활동하여 햇빛을 받지 못하는 것에 대한 걱정이 있다."
2,"환자가 집에서 비타민 D를 먹으라는 제안을 받았고, 현재 비타민 C와 D가 함께 들어있는 약을 복용 중이며 하루 한 번 복용 중이다. 계속해서 이 약을 복용해도 되는지에 대해 물어보고 있다."
6,"오메가 3는 필수 영양소이며, 강의에서도 필수 영양소로 언급되었습니다."
6,오메가 3는 몸에서 일부분을 만들지만 보충이 필요하다.
5,"오메가 3은 음식으로 섭취해야 하며, 올리브유나 들기름 같은 음식과 생선에 많이 함유되어 있음. 부족한 경우 영양제로 보충 가능하며, 오메가 3은 유익하다는 자료가 많다."
5,현대인들이 가장 고통 받는 이상지질혈증과 콜레스테롤 상승에 대해 이야기함.
5,오메가 3는 이런 경우에 효과가 있다. 부족하면 다툼이 있을 수 있다.
5,고지혈증 진단을 받은 사람들에게 오메가 3는 유익하지 않다.
5,최근에 계속 많이 나오는 증상과 함께 오메가 3의 다양한 기능을 고려해야 합니다.
5,"- 중년 이후부터는 종합비타민, 오메가 3, 유산균을 먹어야 함."
5,일상 생활에서는 영양소가 부족해질 수 있다.
6,"환자가 최근에 생선구이를 먹었으며, 오메가 3를 섭취했다고 언급하고 있다."
